user_id,signup_date,city,acquisition_channel,device_type,user_type
55,2024-03-27,Mumbai,Organic,iOS,occasional
56,2024-02-13,Mumbai,Instagram Ads,Android,one_time
57,2024-01-25,Pune,Referral,Android,power
58,2024-02-24,Delhi,Google Ads,iOS,regular
59,2024-02-01,Mumbai,Referral,Android,power
60,2024-01-07,Pune,Organic,Android,regular
61,2024-01-31,Delhi,Referral,iOS,regular
62,2024-03-02,Delhi,Referral,Android,regular
63,2024-01-22,Hyderabad,Organic,iOS,one_time
64,2024-02-03,Hyderabad,Google Ads,iOS,regular
65,2024-03-30,Pune,Referral,Android,regular
66,2024-01-25,Bangalore,Instagram Ads,Android,occasional
67,2024-03-15,Pune,Organic,iOS,regular
68,2024-01-08,Mumbai,Referral,Android,one_time
69,2024-01-08,Pune,Organic,Android,power
70,2024-01-09,Pune,Organic,Android,one_time
71,2024-02-21,Mumbai,Instagram Ads,Android,occasional
72,2024-03-20,Mumbai,Referral,iOS,regular
73,2024-02-03,Delhi,Google Ads,Android,power
74,2024-02-03,Hyderabad,Instagram Ads,iOS,one_time
75,2024-02-28,Bangalore,Organic,Android,occasional
76,2024-02-28,Pune,Organic,Android,occasional
77,2024-03-09,Delhi,Google Ads,Android,occasional
78,2024-02-14,Mumbai,Instagram Ads,iOS,power
79,2024-02-06,Delhi,Referral,iOS,regular
80,2024-03-19,Pune,Organic,iOS,regular
81,2024-03-25,Mumbai,Instagram Ads,iOS,one_time
82,2024-01-15,Mumbai,Instagram Ads,iOS,occasional
83,2024-02-06,Pune,Instagram Ads,iOS,regular
84,2024-01-27,Bangalore,Referral,iOS,power
85,2024-01-07,Mumbai,Referral,iOS,regular
86,2024-01-06,Mumbai,Google Ads,Android,regular
87,2024-03-22,Bangalore,Instagram Ads,iOS,occasional
88,2024-03-11,Hyderabad,Organic,Android,occasional
89,2024-01-10,Delhi,Organic,iOS,one_time
90,2024-03-15,Pune,Instagram Ads,iOS,occasional
91,2024-01-17,Mumbai,Google Ads,iOS,regular
92,2024-01-06,Bangalore,Instagram Ads,Android,occasional
93,2024-03-26,Mumbai,Google Ads,iOS,occasional
94,2024-03-20,Delhi,Instagram Ads,Android,occasional
95,2024-01-23,Hyderabad,Organic,Android,occasional
96,2024-02-12,Hyderabad,Instagram Ads,iOS,occasional
97,2024-01-21,Mumbai,Referral,Android,occasional
98,2024-03-01,Delhi,Instagram Ads,iOS,occasional
99,2024-02-14,Bangalore,Instagram Ads,Android,power
100,2024-01-04,Delhi,Referral,iOS,regular
101,2024-02-05,Mumbai,Google Ads,iOS,power
102,2024-03-23,Pune,Referral,iOS,occasional
103,2024-01-04,Mumbai,Google Ads,Android,regular
104,2024-03-15,Bangalore,Organic,Android,occasional
105,2024-03-17,Hyderabad,Google Ads,iOS,one_time
106,2024-02-25,Pune,Organic,iOS,regular
107,2024-03-14,Delhi,Google Ads,Android,occasional
108,2024-03-31,Hyderabad,Organic,Android,occasional
109,2024-02-16,Hyderabad,Organic,iOS,regular
110,2024-03-20,Bangalore,Organic,iOS,power
111,2024-03-05,Bangalore,Referral,iOS,regular
112,2024-02-21,Bangalore,Instagram Ads,Android,regular
113,2024-02-23,Hyderabad,Instagram Ads,iOS,one_time
114,2024-02-21,Pune,Organic,iOS,one_time
115,2024-02-06,Delhi,Referral,iOS,occasional
116,2024-02-29,Hyderabad,Referral,Android,one_time
117,2024-03-06,Hyderabad,Instagram Ads,Android,one_time
118,2024-02-06,Pune,Google Ads,Android,regular
119,2024-01-31,Bangalore,Instagram Ads,Android,one_time
120,2024-01-19,Mumbai,Organic,Android,occasional
121,2024-03-01,Pune,Organic,iOS,one_time
122,2024-02-23,Pune,Instagram Ads,iOS,one_time
123,2024-03-04,Hyderabad,Instagram Ads,Android,regular
124,2024-03-24,Mumbai,Organic,iOS,regular
125,2024-01-29,Delhi,Referral,Android,regular
126,2024-03-12,Delhi,Organic,iOS,occasional
127,2024-01-18,Hyderabad,Google Ads,iOS,one_time
128,2024-03-19,Pune,Referral,iOS,one_time
129,2024-01-21,Hyderabad,Referral,iOS,power
130,2024-02-01,Bangalore,Referral,Android,occasional
131,2024-02-05,Hyderabad,Organic,iOS,occasional
132,2024-01-31,Bangalore,Google Ads,iOS,regular
133,2024-03-10,Mumbai,Instagram Ads,Android,regular
134,2024-01-30,Hyderabad,Instagram Ads,Android,regular
135,2024-01-09,Hyderabad,Referral,iOS,one_time
136,2024-03-10,Hyderabad,Referral,Android,regular
137,2024-01-27,Hyderabad,Referral,Android,occasional
138,2024-03-14,Hyderabad,Referral,Android,occasional
139,2024-02-15,Bangalore,Referral,iOS,regular
140,2024-03-09,Pune,Instagram Ads,iOS,one_time
141,2024-01-29,Bangalore,Referral,iOS,one_time
142,2024-01-04,Hyderabad,Google Ads,iOS,regular
143,2024-01-22,Hyderabad,Instagram Ads,Android,occasional
144,2024-02-20,Pune,Organic,Android,regular
145,2024-03-23,Hyderabad,Instagram Ads,iOS,regular
146,2024-01-24,Mumbai,Google Ads,iOS,power
147,2024-02-11,Delhi,Referral,iOS,occasional
148,2024-02-13,Hyderabad,Google Ads,iOS,occasional
149,2024-02-02,Mumbai,Referral,Android,power
150,2024-03-10,Mumbai,Google Ads,Android,regular
151,2024-03-24,Mumbai,Organic,Android,one_time
152,2024-02-01,Delhi,Organic,Android,regular
153,2024-01-31,Delhi,Referral,Android,regular
154,2024-03-13,Delhi,Referral,iOS,occasional
155,2024-02-17,Delhi,Organic,Android,one_time
156,2024-02-09,Mumbai,Organic,iOS,regular
157,2024-03-14,Hyderabad,Referral,Android,occasional
158,2024-01-10,Pune,Instagram Ads,Android,occasional
159,2024-03-30,Bangalore,Organic,Android,regular
160,2024-02-14,Pune,Referral,iOS,occasional
161,2024-01-09,Pune,Google Ads,Android,regular
162,2024-02-23,Hyderabad,Organic,iOS,occasional
163,2024-02-16,Hyderabad,Instagram Ads,iOS,occasional
164,2024-01-23,Pune,Google Ads,iOS,occasional
165,2024-02-29,Hyderabad,Google Ads,iOS,power
166,2024-02-01,Mumbai,Google Ads,iOS,one_time
167,2024-02-01,Hyderabad,Referral,iOS,regular
168,2024-01-04,Hyderabad,Google Ads,Android,regular
169,2024-03-03,Delhi,Google Ads,iOS,power
170,2024-02-13,Bangalore,Google Ads,Android,occasional
171,2024-03-07,Delhi,Organic,Android,occasional
172,2024-02-22,Hyderabad,Instagram Ads,iOS,power
173,2024-03-23,Hyderabad,Referral,Android,occasional
174,2024-01-12,Bangalore,Instagram Ads,iOS,regular
175,2024-03-29,Delhi,Google Ads,iOS,occasional
176,2024-03-01,Pune,Google Ads,iOS,regular
177,2024-03-11,Bangalore,Google Ads,iOS,occasional
178,2024-02-04,Bangalore,Google Ads,Android,regular
179,2024-01-16,Delhi,Google Ads,Android,one_time
180,2024-03-09,Delhi,Instagram Ads,Android,regular
181,2024-03-02,Bangalore,Google Ads,Android,regular
182,2024-01-25,Bangalore,Instagram Ads,iOS,regular
183,2024-01-23,Bangalore,Organic,Android,one_time
184,2024-02-05,Mumbai,Organic,iOS,one_time
185,2024-03-30,Delhi,Referral,Android,regular
186,2024-01-02,Pune,Google Ads,iOS,occasional
187,2024-03-02,Hyderabad,Google Ads,Android,one_time
188,2024-01-07,Bangalore,Referral,Android,occasional
189,2024-01-09,Hyderabad,Referral,Android,occasional
190,2024-03-14,Mumbai,Instagram Ads,Android,regular
191,2024-03-13,Bangalore,Organic,Android,power
192,2024-01-16,Pune,Referral,Android,one_time
193,2024-03-07,Hyderabad,Referral,iOS,one_time
194,2024-02-08,Pune,Referral,iOS,occasional
195,2024-03-13,Pune,Organic,Android,regular
196,2024-01-27,Delhi,Google Ads,Android,regular
197,2024-01-21,Delhi,Instagram Ads,Android,occasional
198,2024-01-21,Mumbai,Referral,iOS,one_time
199,2024-03-29,Pune,Referral,iOS,one_time
200,2024-01-05,Delhi,Google Ads,iOS,occasional
201,2024-03-30,Hyderabad,Organic,Android,occasional
202,2024-02-03,Pune,Instagram Ads,iOS,power
203,2024-01-15,Pune,Instagram Ads,Android,regular
204,2024-02-04,Delhi,Organic,Android,one_time
205,2024-01-22,Bangalore,Google Ads,iOS,occasional
206,2024-01-16,Hyderabad,Google Ads,iOS,power
207,2024-02-04,Pune,Referral,iOS,regular
208,2024-01-11,Pune,Organic,iOS,occasional
209,2024-02-11,Pune,Google Ads,Android,power
210,2024-01-12,Delhi,Organic,iOS,regular
211,2024-03-14,Mumbai,Instagram Ads,iOS,occasional
212,2024-03-07,Hyderabad,Google Ads,Android,occasional
213,2024-03-15,Hyderabad,Referral,Android,occasional
214,2024-03-01,Bangalore,Referral,iOS,regular
215,2024-02-11,Mumbai,Instagram Ads,iOS,occasional
216,2024-02-22,Hyderabad,Google Ads,iOS,regular
217,2024-03-11,Mumbai,Referral,Android,regular
218,2024-02-10,Bangalore,Google Ads,Android,occasional
219,2024-02-21,Pune,Organic,iOS,occasional
220,2024-02-22,Mumbai,Instagram Ads,iOS,one_time
221,2024-03-20,Hyderabad,Referral,Android,occasional
222,2024-01-27,Bangalore,Instagram Ads,iOS,occasional
223,2024-02-26,Hyderabad,Organic,Android,power
224,2024-03-21,Pune,Instagram Ads,Android,regular
225,2024-02-09,Pune,Organic,iOS,regular
226,2024-01-12,Delhi,Organic,iOS,regular
227,2024-01-16,Delhi,Referral,iOS,one_time
228,2024-03-06,Bangalore,Referral,iOS,regular
229,2024-03-01,Delhi,Referral,Android,one_time
230,2024-02-19,Delhi,Instagram Ads,Android,occasional
231,2024-02-05,Hyderabad,Google Ads,iOS,occasional
232,2024-01-01,Bangalore,Google Ads,iOS,occasional
233,2024-01-20,Hyderabad,Referral,iOS,occasional
234,2024-02-12,Pune,Referral,iOS,occasional
235,2024-02-11,Delhi,Instagram Ads,iOS,regular
236,2024-01-30,Hyderabad,Organic,iOS,occasional
237,2024-03-01,Hyderabad,Referral,Android,regular
238,2024-03-04,Mumbai,Instagram Ads,iOS,power
239,2024-01-13,Hyderabad,Organic,iOS,occasional
240,2024-01-02,Delhi,Referral,Android,regular
241,2024-01-10,Hyderabad,Google Ads,iOS,one_time
242,2024-03-20,Hyderabad,Organic,iOS,one_time
243,2024-03-27,Pune,Referral,iOS,one_time
244,2024-03-21,Hyderabad,Organic,Android,regular
245,2024-01-31,Bangalore,Instagram Ads,Android,power
246,2024-02-25,Mumbai,Organic,iOS,one_time
247,2024-01-22,Bangalore,Organic,Android,occasional
248,2024-02-11,Mumbai,Google Ads,iOS,one_time
249,2024-02-17,Hyderabad,Instagram Ads,Android,one_time
250,2024-03-08,Hyderabad,Instagram Ads,Android,one_time
251,2024-01-23,Mumbai,Referral,Android,regular
252,2024-03-04,Pune,Instagram Ads,Android,regular
253,2024-02-29,Bangalore,Referral,iOS,one_time
254,2024-03-26,Mumbai,Referral,iOS,regular
255,2024-03-27,Pune,Instagram Ads,Android,regular
256,2024-02-26,Bangalore,Google Ads,iOS,occasional
257,2024-03-29,Bangalore,Referral,iOS,one_time
258,2024-01-26,Hyderabad,Referral,Android,occasional
259,2024-01-31,Hyderabad,Google Ads,iOS,occasional
260,2024-03-30,Bangalore,Organic,iOS,power
261,2024-02-05,Mumbai,Organic,iOS,occasional
262,2024-02-06,Delhi,Google Ads,Android,one_time
263,2024-03-22,Delhi,Google Ads,Android,regular
264,2024-03-21,Mumbai,Organic,iOS,occasional
265,2024-02-26,Mumbai,Google Ads,Android,one_time
266,2024-01-12,Bangalore,Google Ads,iOS,occasional
267,2024-01-23,Delhi,Instagram Ads,iOS,occasional
268,2024-03-08,Pune,Google Ads,Android,occasional
269,2024-02-02,Hyderabad,Google Ads,iOS,regular
270,2024-01-15,Hyderabad,Organic,Android,regular
271,2024-01-29,Hyderabad,Google Ads,Android,one_time
272,2024-02-20,Mumbai,Google Ads,Android,one_time
273,2024-02-28,Bangalore,Google Ads,iOS,one_time
274,2024-03-22,Bangalore,Organic,Android,one_time
275,2024-03-01,Mumbai,Google Ads,Android,occasional
276,2024-03-23,Mumbai,Referral,iOS,occasional
277,2024-03-24,Hyderabad,Organic,Android,occasional
278,2024-01-06,Mumbai,Google Ads,iOS,occasional
279,2024-01-15,Mumbai,Instagram Ads,Android,occasional
280,2024-02-19,Hyderabad,Google Ads,iOS,occasional
281,2024-03-16,Delhi,Referral,Android,one_time
282,2024-03-03,Pune,Referral,iOS,regular
283,2024-01-05,Bangalore,Instagram Ads,iOS,regular
284,2024-02-26,Delhi,Google Ads,Android,power
285,2024-03-28,Bangalore,Google Ads,Android,occasional
286,2024-02-20,Bangalore,Instagram Ads,Android,power
287,2024-02-28,Mumbai,Instagram Ads,Android,occasional
288,2024-01-07,Bangalore,Instagram Ads,Android,occasional
289,2024-03-13,Delhi,Organic,Android,regular
290,2024-03-16,Delhi,Instagram Ads,iOS,occasional
291,2024-01-19,Pune,Organic,iOS,power
292,2024-01-19,Delhi,Google Ads,Android,power
293,2024-01-15,Mumbai,Instagram Ads,Android,one_time
294,2024-02-15,Delhi,Google Ads,Android,regular
295,2024-01-23,Bangalore,Organic,Android,regular
296,2024-02-23,Pune,Organic,Android,occasional
297,2024-03-01,Hyderabad,Google Ads,Android,occasional
298,2024-02-27,Pune,Instagram Ads,Android,regular
299,2024-03-25,Pune,Google Ads,iOS,occasional
300,2024-03-23,Mumbai,Organic,iOS,power
301,2024-02-21,Hyderabad,Organic,iOS,power
302,2024-02-26,Mumbai,Organic,iOS,occasional
303,2024-03-18,Delhi,Organic,Android,occasional
304,2024-02-05,Pune,Google Ads,iOS,occasional
305,2024-03-17,Pune,Google Ads,iOS,occasional
306,2024-03-05,Pune,Referral,Android,one_time
307,2024-03-30,Mumbai,Instagram Ads,iOS,occasional
308,2024-02-27,Delhi,Referral,iOS,regular
309,2024-02-28,Hyderabad,Referral,Android,occasional
310,2024-02-10,Hyderabad,Google Ads,iOS,regular
311,2024-02-17,Delhi,Referral,Android,occasional
312,2024-01-12,Mumbai,Organic,iOS,power
313,2024-01-13,Bangalore,Instagram Ads,Android,power
314,2024-03-16,Pune,Google Ads,Android,one_time
315,2024-02-22,Bangalore,Referral,Android,one_time
316,2024-02-06,Pune,Google Ads,iOS,occasional
317,2024-01-14,Pune,Instagram Ads,Android,occasional
318,2024-03-25,Hyderabad,Instagram Ads,Android,regular
319,2024-02-14,Pune,Google Ads,Android,regular
320,2024-02-05,Pune,Instagram Ads,iOS,regular
321,2024-03-12,Pune,Organic,iOS,occasional
322,2024-01-04,Delhi,Google Ads,iOS,occasional
323,2024-02-13,Bangalore,Organic,Android,occasional
324,2024-01-19,Pune,Referral,Android,regular
325,2024-01-19,Mumbai,Organic,Android,one_time
326,2024-02-18,Hyderabad,Referral,iOS,occasional
327,2024-01-21,Bangalore,Google Ads,iOS,occasional
328,2024-03-13,Pune,Organic,Android,occasional
329,2024-01-20,Delhi,Organic,Android,occasional
330,2024-02-04,Hyderabad,Referral,iOS,regular
331,2024-03-18,Hyderabad,Referral,iOS,regular
332,2024-01-28,Pune,Organic,iOS,occasional
333,2024-02-25,Mumbai,Google Ads,iOS,power
334,2024-03-08,Bangalore,Organic,Android,regular
335,2024-02-20,Pune,Organic,Android,power
336,2024-01-27,Bangalore,Instagram Ads,Android,power
337,2024-02-02,Bangalore,Google Ads,Android,one_time
338,2024-01-01,Hyderabad,Referral,Android,occasional
339,2024-01-17,Hyderabad,Instagram Ads,iOS,occasional
340,2024-01-10,Hyderabad,Organic,iOS,power
341,2024-01-03,Hyderabad,Organic,iOS,occasional
342,2024-03-14,Hyderabad,Referral,iOS,occasional
343,2024-02-07,Mumbai,Referral,Android,regular
344,2024-02-11,Delhi,Referral,iOS,occasional
345,2024-01-12,Hyderabad,Organic,Android,regular
346,2024-02-25,Pune,Referral,Android,occasional
347,2024-02-20,Bangalore,Google Ads,Android,occasional
348,2024-02-12,Delhi,Organic,Android,power
349,2024-03-08,Pune,Instagram Ads,iOS,regular
350,2024-02-14,Delhi,Instagram Ads,Android,occasional
351,2024-01-19,Bangalore,Instagram Ads,Android,occasional
352,2024-03-18,Delhi,Organic,Android,one_time
353,2024-03-21,Hyderabad,Referral,iOS,occasional
354,2024-03-28,Pune,Google Ads,iOS,regular
355,2024-01-20,Hyderabad,Organic,iOS,power
356,2024-02-26,Bangalore,Google Ads,Android,occasional
357,2024-02-15,Pune,Organic,iOS,power
358,2024-02-29,Hyderabad,Organic,Android,occasional
359,2024-02-17,Bangalore,Organic,Android,one_time
360,2024-03-19,Pune,Referral,iOS,occasional
361,2024-03-15,Pune,Organic,iOS,regular
362,2024-03-14,Delhi,Google Ads,iOS,occasional
363,2024-03-05,Delhi,Organic,iOS,occasional
364,2024-01-14,Bangalore,Organic,Android,occasional
365,2024-01-06,Delhi,Referral,iOS,one_time
366,2024-03-08,Pune,Instagram Ads,iOS,regular
367,2024-02-17,Bangalore,Referral,iOS,one_time
368,2024-02-13,Pune,Organic,iOS,one_time
369,2024-01-09,Bangalore,Organic,iOS,regular
370,2024-02-06,Bangalore,Instagram Ads,iOS,power
371,2024-01-11,Pune,Instagram Ads,iOS,regular
372,2024-02-09,Hyderabad,Instagram Ads,Android,power
373,2024-02-09,Pune,Referral,iOS,power
374,2024-01-17,Pune,Organic,iOS,occasional
375,2024-03-06,Bangalore,Organic,iOS,power
376,2024-02-09,Delhi,Instagram Ads,iOS,regular
377,2024-03-03,Delhi,Instagram Ads,Android,one_time
378,2024-01-20,Mumbai,Google Ads,Android,power
379,2024-03-05,Pune,Organic,iOS,one_time
380,2024-03-20,Delhi,Referral,Android,regular
381,2024-01-21,Delhi,Instagram Ads,iOS,regular
382,2024-01-06,Hyderabad,Google Ads,Android,occasional
383,2024-02-26,Pune,Google Ads,iOS,occasional
384,2024-01-30,Pune,Instagram Ads,iOS,one_time
385,2024-03-01,Delhi,Google Ads,iOS,occasional
386,2024-02-29,Bangalore,Referral,iOS,one_time
387,2024-01-21,Delhi,Instagram Ads,iOS,regular
388,2024-01-07,Hyderabad,Google Ads,Android,regular
389,2024-03-07,Mumbai,Google Ads,Android,occasional
390,2024-01-21,Bangalore,Referral,Android,one_time
391,2024-02-25,Mumbai,Instagram Ads,iOS,one_time
392,2024-02-14,Mumbai,Referral,Android,occasional
393,2024-02-20,Pune,Google Ads,Android,regular
394,2024-02-19,Mumbai,Google Ads,Android,occasional
395,2024-01-04,Bangalore,Organic,iOS,regular
396,2024-01-19,Delhi,Organic,iOS,one_time
397,2024-03-01,Delhi,Referral,iOS,one_time
398,2024-03-19,Mumbai,Organic,Android,occasional
399,2024-02-02,Delhi,Instagram Ads,iOS,occasional
400,2024-01-15,Bangalore,Instagram Ads,iOS,occasional
401,2024-01-16,Mumbai,Instagram Ads,iOS,regular
402,2024-03-22,Pune,Referral,Android,one_time
403,2024-01-15,Hyderabad,Organic,Android,occasional
404,2024-01-19,Bangalore,Referral,Android,one_time
405,2024-03-19,Bangalore,Instagram Ads,iOS,regular
406,2024-01-24,Mumbai,Google Ads,Android,one_time
407,2024-03-08,Pune,Organic,iOS,regular
408,2024-03-01,Mumbai,Referral,iOS,power
409,2024-02-02,Mumbai,Google Ads,Android,one_time
410,2024-02-14,Delhi,Organic,iOS,power
411,2024-01-18,Mumbai,Google Ads,iOS,regular
412,2024-03-23,Delhi,Referral,iOS,one_time
413,2024-03-21,Delhi,Instagram Ads,Android,one_time
414,2024-02-28,Mumbai,Google Ads,Android,occasional
415,2024-01-06,Delhi,Organic,iOS,occasional
416,2024-02-09,Pune,Referral,iOS,occasional
417,2024-02-02,Mumbai,Instagram Ads,iOS,regular
418,2024-02-15,Mumbai,Google Ads,iOS,regular
419,2024-01-16,Bangalore,Referral,iOS,occasional
420,2024-02-26,Hyderabad,Google Ads,Android,occasional
421,2024-03-04,Hyderabad,Google Ads,iOS,occasional
422,2024-01-11,Hyderabad,Organic,iOS,occasional
423,2024-03-18,Delhi,Google Ads,iOS,power
424,2024-01-14,Mumbai,Google Ads,iOS,occasional
425,2024-02-09,Hyderabad,Referral,Android,power
426,2024-03-29,Hyderabad,Google Ads,iOS,occasional
427,2024-01-06,Bangalore,Referral,iOS,occasional
428,2024-03-22,Mumbai,Organic,iOS,one_time
429,2024-02-16,Pune,Instagram Ads,Android,regular
430,2024-01-19,Pune,Referral,Android,regular
431,2024-01-17,Mumbai,Instagram Ads,iOS,regular
432,2024-02-16,Hyderabad,Organic,Android,occasional
433,2024-03-27,Hyderabad,Google Ads,iOS,occasional
434,2024-02-26,Mumbai,Instagram Ads,iOS,regular
435,2024-02-20,Bangalore,Google Ads,Android,power
436,2024-01-15,Mumbai,Instagram Ads,iOS,occasional
437,2024-03-07,Hyderabad,Organic,iOS,power
438,2024-02-03,Hyderabad,Instagram Ads,iOS,one_time
439,2024-03-29,Hyderabad,Instagram Ads,Android,occasional
440,2024-01-18,Mumbai,Referral,Android,power
441,2024-02-26,Mumbai,Google Ads,iOS,power
442,2024-03-31,Mumbai,Google Ads,iOS,one_time
443,2024-01-21,Delhi,Google Ads,Android,regular
444,2024-01-16,Delhi,Instagram Ads,Android,regular
445,2024-03-04,Mumbai,Google Ads,iOS,one_time
446,2024-02-29,Pune,Instagram Ads,Android,one_time
447,2024-01-09,Bangalore,Referral,iOS,one_time
448,2024-03-08,Hyderabad,Referral,Android,occasional
449,2024-01-17,Bangalore,Organic,iOS,regular
450,2024-02-29,Pune,Google Ads,Android,power
451,2024-03-11,Pune,Instagram Ads,Android,occasional
452,2024-02-25,Pune,Organic,Android,occasional
453,2024-03-07,Delhi,Google Ads,Android,occasional
454,2024-01-21,Bangalore,Instagram Ads,iOS,one_time
455,2024-03-07,Bangalore,Organic,iOS,regular
456,2024-01-26,Pune,Google Ads,Android,occasional
457,2024-03-21,Bangalore,Organic,Android,power
458,2024-03-16,Pune,Instagram Ads,Android,occasional
459,2024-03-25,Pune,Google Ads,Android,power
460,2024-01-04,Mumbai,Organic,iOS,regular
461,2024-03-24,Delhi,Referral,Android,regular
462,2024-03-04,Pune,Google Ads,iOS,occasional
463,2024-03-02,Delhi,Referral,iOS,occasional
464,2024-02-28,Mumbai,Organic,Android,occasional
465,2024-02-26,Hyderabad,Referral,iOS,one_time
466,2024-01-27,Bangalore,Instagram Ads,iOS,regular
467,2024-02-10,Bangalore,Referral,Android,regular
468,2024-02-17,Pune,Organic,iOS,one_time
469,2024-01-31,Hyderabad,Organic,iOS,regular
470,2024-02-27,Delhi,Instagram Ads,Android,one_time
471,2024-01-07,Bangalore,Referral,iOS,power
472,2024-02-01,Delhi,Google Ads,iOS,one_time
473,2024-01-25,Delhi,Referral,iOS,power
474,2024-03-04,Bangalore,Referral,Android,one_time
475,2024-01-12,Hyderabad,Referral,Android,occasional
476,2024-01-28,Pune,Google Ads,Android,one_time
477,2024-01-07,Bangalore,Referral,iOS,power
478,2024-02-06,Pune,Organic,Android,occasional
479,2024-02-25,Delhi,Google Ads,iOS,one_time
480,2024-02-21,Bangalore,Organic,iOS,occasional
481,2024-01-07,Pune,Instagram Ads,iOS,occasional
482,2024-03-11,Bangalore,Organic,iOS,occasional
483,2024-03-05,Hyderabad,Google Ads,Android,occasional
484,2024-01-17,Mumbai,Referral,iOS,occasional
485,2024-02-13,Pune,Google Ads,Android,occasional
486,2024-01-26,Pune,Referral,Android,one_time
487,2024-01-06,Mumbai,Instagram Ads,iOS,power
488,2024-03-01,Pune,Referral,Android,regular
489,2024-03-18,Pune,Instagram Ads,iOS,one_time
490,2024-03-19,Bangalore,Instagram Ads,iOS,one_time
491,2024-03-19,Bangalore,Google Ads,iOS,occasional
492,2024-03-31,Pune,Google Ads,iOS,occasional
493,2024-01-03,Bangalore,Google Ads,Android,regular
494,2024-02-23,Pune,Google Ads,Android,regular
495,2024-03-17,Hyderabad,Google Ads,Android,occasional
496,2024-01-07,Pune,Referral,Android,regular
497,2024-03-08,Pune,Referral,Android,occasional
498,2024-03-28,Delhi,Organic,Android,power
499,2024-01-25,Mumbai,Referral,iOS,one_time
500,2024-02-23,Delhi,Referral,Android,one_time
501,2024-02-22,Pune,Referral,Android,occasional
502,2024-03-31,Delhi,Instagram Ads,iOS,occasional
503,2024-03-25,Hyderabad,Referral,iOS,regular
504,2024-01-23,Hyderabad,Google Ads,iOS,one_time
505,2024-03-27,Bangalore,Referral,Android,occasional
506,2024-02-01,Bangalore,Google Ads,Android,regular
507,2024-02-08,Bangalore,Instagram Ads,iOS,one_time
508,2024-02-10,Hyderabad,Google Ads,iOS,one_time
509,2024-02-06,Mumbai,Referral,iOS,one_time
510,2024-02-14,Delhi,Google Ads,Android,occasional
511,2024-02-06,Mumbai,Google Ads,iOS,occasional
512,2024-03-24,Bangalore,Referral,Android,occasional
513,2024-01-26,Pune,Google Ads,iOS,one_time
514,2024-01-18,Mumbai,Instagram Ads,Android,one_time
515,2024-01-07,Pune,Instagram Ads,Android,power
516,2024-01-07,Mumbai,Referral,iOS,power
