event_date,app_open,product_view,add_to_cart,checkout,orders,view_rate,cart_rate,checkout_rate,purchase_rate
2024-01-20,399,284,209,114,84,0.7117794486215538,0.7359154929577465,0.5454545454545454,0.7368421052631579
2024-01-21,399,291,207,115,87,0.7293233082706767,0.711340206185567,0.5555555555555556,0.7565217391304347
2024-01-22,430,327,194,142,97,0.7604651162790698,0.5932721712538226,0.7319587628865979,0.6830985915492958
2024-01-23,449,343,199,120,83,0.7639198218262806,0.5801749271137027,0.6030150753768844,0.6916666666666667
2024-01-24,453,344,232,131,94,0.7593818984547461,0.6744186046511628,0.5646551724137931,0.7175572519083969
2024-01-25,510,386,264,148,93,0.7568627450980392,0.6839378238341969,0.5606060606060606,0.6283783783783784
2024-01-26,533,417,281,145,98,0.7823639774859287,0.6738609112709832,0.5160142348754448,0.6758620689655173
2024-01-27,501,376,252,148,105,0.7504990019960079,0.6702127659574468,0.5873015873015873,0.7094594594594594
2024-01-28,491,377,231,134,87,0.7678207739307535,0.6127320954907162,0.5800865800865801,0.6492537313432836
2024-01-29,510,377,272,156,113,0.7392156862745098,0.7214854111405835,0.5735294117647058,0.7243589743589743
2024-01-30,507,387,242,146,96,0.7633136094674556,0.6253229974160207,0.6033057851239669,0.6575342465753424
2024-01-31,560,413,273,160,117,0.7375,0.6610169491525424,0.5860805860805861,0.73125
2024-02-01,561,428,289,164,108,0.7629233511586453,0.6752336448598131,0.5674740484429066,0.6585365853658537
2024-02-02,530,392,253,156,110,0.7396226415094339,0.6454081632653061,0.616600790513834,0.7051282051282052
2024-02-03,517,386,265,137,105,0.746615087040619,0.6865284974093264,0.5169811320754717,0.7664233576642335
2024-02-04,567,434,310,164,118,0.7654320987654321,0.7142857142857143,0.5290322580645161,0.7195121951219512
2024-02-05,560,420,292,171,123,0.75,0.6952380952380952,0.5856164383561644,0.7192982456140351
2024-02-06,536,393,269,160,109,0.7332089552238806,0.6844783715012722,0.5947955390334573,0.68125
2024-02-07,583,428,290,167,110,0.7341337907375644,0.677570093457944,0.5758620689655173,0.6586826347305389
2024-02-08,580,449,271,152,103,0.7741379310344828,0.6035634743875279,0.5608856088560885,0.6776315789473685
2024-02-09,567,441,270,159,109,0.7777777777777778,0.6122448979591837,0.5888888888888889,0.6855345911949685
2024-02-10,571,436,278,172,118,0.7635726795096323,0.6376146788990825,0.6187050359712231,0.686046511627907
2024-02-11,614,460,295,169,122,0.749185667752443,0.6413043478260869,0.5728813559322034,0.7218934911242604
2024-02-12,630,477,332,171,125,0.7571428571428571,0.6960167714884696,0.5150602409638554,0.7309941520467836
2024-02-13,562,433,279,156,106,0.7704626334519573,0.6443418013856813,0.5591397849462365,0.6794871794871795
2024-02-14,573,444,303,166,102,0.774869109947644,0.6824324324324325,0.5478547854785478,0.6144578313253012
2024-02-15,589,454,283,197,136,0.7707979626485568,0.6233480176211453,0.696113074204947,0.6903553299492385
2024-02-16,601,434,291,172,117,0.7221297836938436,0.6705069124423964,0.5910652920962199,0.6802325581395349
2024-02-17,656,494,335,173,124,0.7530487804878049,0.6781376518218624,0.5164179104477612,0.7167630057803468
2024-02-18,617,473,284,189,138,0.766612641815235,0.6004228329809725,0.6654929577464789,0.7301587301587301
2024-02-19,631,449,323,163,127,0.7115689381933439,0.7193763919821826,0.5046439628482973,0.7791411042944786
2024-02-20,611,472,305,180,131,0.7725040916530278,0.6461864406779662,0.5901639344262295,0.7277777777777777
2024-02-21,639,461,319,189,131,0.7214397496087637,0.6919739696312365,0.5924764890282131,0.6931216931216931
2024-02-22,657,514,337,177,128,0.7823439878234398,0.6556420233463035,0.5252225519287834,0.7231638418079096
2024-02-23,630,466,310,182,129,0.7396825396825397,0.6652360515021459,0.5870967741935483,0.7087912087912088
2024-02-24,610,445,304,169,122,0.7295081967213115,0.6831460674157304,0.555921052631579,0.7218934911242604
2024-02-25,666,501,340,198,137,0.7522522522522522,0.6786427145708582,0.5823529411764706,0.6919191919191919
2024-02-26,604,446,286,183,131,0.7384105960264901,0.6412556053811659,0.6398601398601399,0.7158469945355191
2024-02-27,654,492,324,198,129,0.7522935779816514,0.6585365853658537,0.6111111111111112,0.6515151515151515
2024-02-28,687,516,348,181,125,0.7510917030567685,0.6744186046511628,0.5201149425287356,0.6906077348066298
2024-02-29,669,516,332,185,121,0.7713004484304933,0.6434108527131783,0.5572289156626506,0.654054054054054
2024-03-01,645,482,311,168,106,0.7472868217054264,0.6452282157676349,0.5401929260450161,0.6309523809523809
2024-03-02,681,503,350,195,151,0.7386196769456681,0.6958250497017893,0.5571428571428572,0.7743589743589744
2024-03-03,687,527,345,198,134,0.7671033478893741,0.6546489563567363,0.5739130434782609,0.6767676767676768
2024-03-04,658,499,335,189,134,0.7583586626139818,0.6713426853707415,0.564179104477612,0.708994708994709
2024-03-05,664,515,341,199,159,0.7756024096385542,0.6621359223300971,0.5835777126099707,0.7989949748743719
2024-03-06,663,509,323,195,133,0.7677224736048266,0.6345776031434185,0.6037151702786377,0.6820512820512821
2024-03-07,663,494,325,199,144,0.7450980392156863,0.6578947368421053,0.6123076923076923,0.7236180904522613
2024-03-08,663,508,321,162,113,0.7662141779788839,0.6318897637795275,0.5046728971962616,0.6975308641975309
2024-03-09,677,518,341,195,137,0.7651403249630724,0.6583011583011583,0.5718475073313783,0.7025641025641025
2024-03-10,675,520,347,195,142,0.7703703703703704,0.6673076923076923,0.5619596541786743,0.7282051282051282
2024-03-11,659,502,327,180,120,0.7617602427921093,0.651394422310757,0.5504587155963303,0.6666666666666666
2024-03-12,658,504,312,179,128,0.7659574468085106,0.6190476190476191,0.5737179487179487,0.7150837988826816
2024-03-13,678,488,323,190,130,0.7197640117994101,0.6618852459016393,0.5882352941176471,0.6842105263157895
2024-03-14,647,472,342,199,134,0.7295208655332303,0.7245762711864406,0.5818713450292398,0.6733668341708543
2024-03-15,691,508,349,207,133,0.7351664254703328,0.687007874015748,0.5931232091690545,0.642512077294686
2024-03-16,671,495,326,193,145,0.7377049180327869,0.6585858585858586,0.5920245398773006,0.7512953367875648
2024-03-17,691,517,349,214,150,0.748191027496382,0.6750483558994197,0.6131805157593123,0.7009345794392523
2024-03-18,656,480,315,202,148,0.7317073170731707,0.65625,0.6412698412698413,0.7326732673267327
2024-03-19,639,471,344,193,135,0.7370892018779343,0.7303609341825902,0.561046511627907,0.6994818652849741
2024-03-20,720,541,361,205,137,0.7513888888888889,0.66728280961183,0.5678670360110804,0.6682926829268293
2024-03-21,688,512,340,206,142,0.7441860465116279,0.6640625,0.6058823529411764,0.6893203883495146
2024-03-22,655,475,303,195,143,0.7251908396946565,0.6378947368421053,0.6435643564356436,0.7333333333333333
2024-03-23,646,473,316,184,137,0.7321981424148607,0.6680761099365751,0.5822784810126582,0.7445652173913043
2024-03-24,643,491,325,169,115,0.7636080870917574,0.6619144602851323,0.52,0.6804733727810651
2024-03-25,628,460,319,190,132,0.732484076433121,0.6934782608695652,0.5956112852664577,0.6947368421052632
2024-03-26,646,494,320,179,130,0.7647058823529411,0.6477732793522267,0.559375,0.7262569832402235
2024-03-27,657,503,306,177,124,0.7656012176560122,0.6083499005964215,0.5784313725490197,0.7005649717514124
2024-03-28,667,491,321,195,134,0.7361319340329835,0.6537678207739308,0.6074766355140186,0.6871794871794872
2024-03-29,694,517,348,177,120,0.7449567723342939,0.6731141199226306,0.5086206896551724,0.6779661016949152
2024-03-30,641,472,313,177,141,0.7363494539781591,0.663135593220339,0.5654952076677316,0.7966101694915254
2024-03-31,114,95,68,32,22,0.8333333333333334,0.7157894736842105,0.47058823529411764,0.6875
