user_id,total_sessions,total_orders,user_segment
588,8,1,Occasional User
589,10,3,Regular User
590,7,1,Occasional User
591,9,1,Occasional User
592,3,0,Inactive
593,9,0,Inactive
594,6,2,Occasional User
595,1,1,Occasional User
596,3,1,Occasional User
597,2,0,Inactive
598,7,3,Regular User
599,10,2,Occasional User
600,16,2,Occasional User
601,7,3,Regular User
602,8,1,Occasional User
603,6,0,Inactive
604,14,3,Regular User
605,6,1,Occasional User
606,3,1,Occasional User
607,6,0,Inactive
608,9,3,Regular User
609,5,0,Inactive
610,3,0,Inactive
611,12,4,Regular User
612,6,0,Inactive
613,5,0,Inactive
614,7,1,Occasional User
615,2,2,Occasional User
617,13,2,Occasional User
618,6,2,Occasional User
619,1,0,Inactive
620,4,2,Occasional User
621,1,0,Inactive
622,7,1,Occasional User
623,8,2,Occasional User
624,4,1,Occasional User
625,6,1,Occasional User
626,8,2,Occasional User
627,3,1,Occasional User
628,2,1,Occasional User
629,14,2,Occasional User
630,1,0,Inactive
631,3,0,Inactive
632,2,0,Inactive
633,4,1,Occasional User
634,3,0,Inactive
635,7,4,Regular User
636,2,0,Inactive
637,4,0,Inactive
638,9,0,Inactive
640,10,1,Occasional User
641,15,2,Occasional User
642,7,3,Regular User
643,9,1,Occasional User
644,1,0,Inactive
645,8,1,Occasional User
646,2,0,Inactive
647,3,1,Occasional User
648,6,3,Regular User
649,4,0,Inactive
650,6,1,Occasional User
651,12,1,Occasional User
652,3,1,Occasional User
653,1,0,Inactive
655,1,1,Occasional User
656,8,0,Inactive
657,1,0,Inactive
658,7,1,Occasional User
659,3,0,Inactive
660,5,2,Occasional User
661,8,1,Occasional User
662,2,0,Inactive
663,6,2,Occasional User
664,10,4,Regular User
665,6,0,Inactive
666,6,1,Occasional User
667,7,3,Regular User
668,8,0,Inactive
669,5,1,Occasional User
670,6,0,Inactive
671,9,3,Regular User
673,4,0,Inactive
674,4,1,Occasional User
675,3,0,Inactive
676,2,1,Occasional User
677,10,2,Occasional User
678,4,0,Inactive
681,1,0,Inactive
682,10,2,Occasional User
683,4,1,Occasional User
684,3,0,Inactive
686,5,2,Occasional User
687,4,1,Occasional User
688,7,2,Occasional User
689,3,1,Occasional User
690,8,1,Occasional User
691,9,2,Occasional User
692,3,1,Occasional User
693,3,1,Occasional User
694,6,1,Occasional User
696,5,1,Occasional User
697,6,2,Occasional User
698,5,2,Occasional User
699,8,2,Occasional User
700,4,2,Occasional User
701,3,0,Inactive
702,13,3,Regular User
703,7,0,Inactive
704,8,2,Occasional User
705,13,3,Regular User
706,2,1,Occasional User
707,6,1,Occasional User
708,2,0,Inactive
710,6,0,Inactive
711,4,1,Occasional User
712,6,2,Occasional User
713,1,0,Inactive
714,5,3,Regular User
715,6,1,Occasional User
716,2,0,Inactive
717,1,1,Occasional User
718,1,0,Inactive
719,8,0,Inactive
720,3,0,Inactive
721,2,0,Inactive
722,8,2,Occasional User
723,2,0,Inactive
724,6,2,Occasional User
725,3,0,Inactive
726,1,0,Inactive
727,10,1,Occasional User
728,3,0,Inactive
729,7,0,Inactive
730,10,1,Occasional User
731,2,0,Inactive
732,1,0,Inactive
733,1,0,Inactive
734,6,0,Inactive
735,7,2,Occasional User
736,2,0,Inactive
737,8,1,Occasional User
738,1,0,Inactive
739,5,1,Occasional User
740,6,0,Inactive
741,4,2,Occasional User
742,9,2,Occasional User
743,1,0,Inactive
744,1,0,Inactive
745,5,1,Occasional User
746,2,1,Occasional User
747,7,0,Inactive
748,2,1,Occasional User
749,2,1,Occasional User
750,4,1,Occasional User
751,6,1,Occasional User
752,2,1,Occasional User
753,4,0,Inactive
754,10,2,Occasional User
755,10,3,Regular User
756,3,2,Occasional User
757,4,1,Occasional User
758,1,0,Inactive
759,2,0,Inactive
760,5,2,Occasional User
761,1,0,Inactive
763,5,0,Inactive
764,3,1,Occasional User
765,15,6,Regular User
766,6,3,Regular User
767,3,0,Inactive
768,2,0,Inactive
769,10,2,Occasional User
770,2,0,Inactive
771,9,1,Occasional User
772,1,0,Inactive
773,7,1,Occasional User
774,7,2,Occasional User
775,3,1,Occasional User
776,6,2,Occasional User
777,5,0,Inactive
778,3,0,Inactive
779,3,1,Occasional User
780,3,0,Inactive
781,2,0,Inactive
782,3,1,Occasional User
783,6,1,Occasional User
784,10,4,Regular User
785,9,1,Occasional User
786,2,0,Inactive
787,6,1,Occasional User
788,6,1,Occasional User
790,1,0,Inactive
791,8,0,Inactive
792,1,0,Inactive
793,5,1,Occasional User
794,6,1,Occasional User
795,16,3,Regular User
796,1,0,Inactive
797,1,0,Inactive
798,3,0,Inactive
799,5,2,Occasional User
800,1,0,Inactive
801,6,1,Occasional User
802,7,2,Occasional User
804,5,2,Occasional User
805,5,0,Inactive
806,6,1,Occasional User
807,1,0,Inactive
808,1,0,Inactive
809,3,0,Inactive
810,10,2,Occasional User
811,1,1,Occasional User
812,2,0,Inactive
813,8,0,Inactive
814,1,0,Inactive
815,2,0,Inactive
816,3,1,Occasional User
817,3,1,Occasional User
818,10,3,Regular User
819,8,2,Occasional User
820,6,2,Occasional User
821,1,0,Inactive
822,13,3,Regular User
823,3,0,Inactive
824,8,1,Occasional User
825,6,0,Inactive
826,1,1,Occasional User
827,3,0,Inactive
828,8,4,Regular User
829,3,0,Inactive
830,3,1,Occasional User
831,10,2,Occasional User
832,3,0,Inactive
833,6,0,Inactive
834,4,1,Occasional User
835,6,2,Occasional User
836,5,0,Inactive
837,1,0,Inactive
839,6,1,Occasional User
840,5,0,Inactive
842,2,1,Occasional User
843,8,1,Occasional User
844,1,0,Inactive
845,8,1,Occasional User
846,1,0,Inactive
847,13,1,Occasional User
848,2,0,Inactive
850,4,3,Regular User
851,9,1,Occasional User
852,3,1,Occasional User
853,9,1,Occasional User
854,2,2,Occasional User
855,7,0,Inactive
856,6,1,Occasional User
857,13,0,Inactive
858,6,0,Inactive
859,6,0,Inactive
860,4,1,Occasional User
861,5,1,Occasional User
862,5,1,Occasional User
863,4,0,Inactive
864,4,0,Inactive
865,6,0,Inactive
866,4,2,Occasional User
867,8,1,Occasional User
868,10,3,Regular User
869,1,1,Occasional User
870,1,0,Inactive
871,5,0,Inactive
872,6,2,Occasional User
873,4,2,Occasional User
874,3,1,Occasional User
875,12,4,Regular User
876,1,1,Occasional User
877,3,0,Inactive
878,6,2,Occasional User
879,5,1,Occasional User
880,9,0,Inactive
881,7,1,Occasional User
882,3,1,Occasional User
883,6,2,Occasional User
884,2,0,Inactive
885,4,2,Occasional User
886,4,1,Occasional User
887,3,0,Inactive
888,6,3,Regular User
889,18,4,Regular User
890,6,1,Occasional User
891,6,1,Occasional User
892,2,1,Occasional User
893,1,1,Occasional User
894,10,2,Occasional User
895,5,0,Inactive
896,9,0,Inactive
897,6,1,Occasional User
898,2,0,Inactive
899,7,1,Occasional User
900,6,0,Inactive
901,6,0,Inactive
902,4,1,Occasional User
903,6,2,Occasional User
904,6,2,Occasional User
905,3,1,Occasional User
907,2,0,Inactive
909,6,3,Regular User
910,8,0,Inactive
911,6,2,Occasional User
912,7,3,Regular User
913,3,0,Inactive
914,1,0,Inactive
915,3,0,Inactive
916,3,1,Occasional User
917,10,0,Inactive
918,1,0,Inactive
919,4,0,Inactive
921,2,1,Occasional User
922,6,0,Inactive
923,1,0,Inactive
924,5,1,Occasional User
925,3,0,Inactive
927,1,0,Inactive
928,6,2,Occasional User
929,3,1,Occasional User
930,7,3,Regular User
931,6,4,Regular User
932,1,0,Inactive
933,2,0,Inactive
934,1,0,Inactive
935,7,0,Inactive
936,10,1,Occasional User
937,16,3,Regular User
938,1,0,Inactive
939,4,0,Inactive
940,5,1,Occasional User
941,7,2,Occasional User
942,6,2,Occasional User
943,5,2,Occasional User
944,2,0,Inactive
945,8,2,Occasional User
946,16,3,Regular User
947,8,1,Occasional User
948,1,0,Inactive
949,2,2,Occasional User
950,1,0,Inactive
952,4,2,Occasional User
953,6,2,Occasional User
954,2,0,Inactive
956,10,2,Occasional User
957,3,1,Occasional User
958,18,2,Occasional User
959,7,0,Inactive
960,4,1,Occasional User
961,1,0,Inactive
963,8,1,Occasional User
965,10,3,Regular User
966,4,2,Occasional User
967,4,0,Inactive
968,6,1,Occasional User
969,4,1,Occasional User
970,6,2,Occasional User
971,5,2,Occasional User
972,1,1,Occasional User
973,5,2,Occasional User
974,4,2,Occasional User
975,7,2,Occasional User
976,1,1,Occasional User
977,6,1,Occasional User
978,12,4,Regular User
979,2,1,Occasional User
980,6,4,Regular User
981,1,0,Inactive
982,6,2,Occasional User
983,7,2,Occasional User
984,6,0,Inactive
985,3,0,Inactive
986,5,0,Inactive
987,6,1,Occasional User
988,3,1,Occasional User
989,1,0,Inactive
990,1,0,Inactive
991,5,2,Occasional User
992,4,0,Inactive
993,5,1,Occasional User
996,18,5,Regular User
997,1,1,Occasional User
998,10,2,Occasional User
999,2,0,Inactive
1000,4,0,Inactive
1001,2,0,Inactive
1002,3,1,Occasional User
1003,1,0,Inactive
1004,6,1,Occasional User
1005,1,0,Inactive
1006,2,1,Occasional User
1007,5,1,Occasional User
1008,1,0,Inactive
1009,7,5,Regular User
1010,4,1,Occasional User
1011,4,1,Occasional User
1012,1,0,Inactive
1013,2,0,Inactive
1014,15,4,Regular User
1015,3,0,Inactive
1016,2,0,Inactive
1017,8,1,Occasional User
1018,6,1,Occasional User
1019,2,0,Inactive
1020,12,3,Regular User
1021,3,0,Inactive
1022,8,2,Occasional User
1023,1,0,Inactive
1024,2,0,Inactive
1025,1,0,Inactive
1026,3,0,Inactive
1028,1,0,Inactive
1029,1,0,Inactive
1030,2,0,Inactive
1031,10,0,Inactive
1032,3,1,Occasional User
1033,1,0,Inactive
1034,1,0,Inactive
1035,11,1,Occasional User
1036,1,0,Inactive
1037,5,1,Occasional User
1038,5,3,Regular User
1039,19,2,Occasional User
1040,6,2,Occasional User
1041,6,1,Occasional User
1042,5,1,Occasional User
1043,9,1,Occasional User
1044,5,2,Occasional User
1045,1,0,Inactive
1046,5,0,Inactive
1047,8,2,Occasional User
1049,1,0,Inactive
1050,4,0,Inactive
1051,2,1,Occasional User
1052,6,2,Occasional User
1053,1,0,Inactive
1054,4,0,Inactive
1055,1,1,Occasional User
1056,1,1,Occasional User
1057,4,1,Occasional User
1058,3,0,Inactive
1059,3,0,Inactive
1060,5,0,Inactive
1061,2,0,Inactive
1062,1,1,Occasional User
1063,3,2,Occasional User
1065,3,0,Inactive
1066,4,0,Inactive
1067,5,2,Occasional User
1068,7,1,Occasional User
1069,7,3,Regular User
1070,4,0,Inactive
1072,9,4,Regular User
1073,10,3,Regular User
1074,9,2,Occasional User
1075,2,0,Inactive
1076,4,1,Occasional User
1077,8,2,Occasional User
1078,5,0,Inactive
1079,8,3,Regular User
1080,1,0,Inactive
1081,3,2,Occasional User
1082,16,4,Regular User
1083,2,0,Inactive
1084,1,1,Occasional User
1085,1,1,Occasional User
1086,6,1,Occasional User
1087,6,4,Regular User
1088,6,0,Inactive
1089,2,0,Inactive
1090,6,0,Inactive
1091,2,1,Occasional User
1092,4,1,Occasional User
1093,5,0,Inactive
1094,4,1,Occasional User
1095,1,0,Inactive
1096,9,3,Regular User
1097,3,0,Inactive
1098,5,1,Occasional User
1099,5,0,Inactive
1100,1,0,Inactive
1101,12,5,Regular User
1102,1,0,Inactive
1103,1,0,Inactive
1104,2,0,Inactive
1105,1,1,Occasional User
1106,9,3,Regular User
1107,10,3,Regular User
1108,6,1,Occasional User
1109,6,1,Occasional User
1110,9,4,Regular User
1111,1,0,Inactive
1112,2,0,Inactive
1113,6,1,Occasional User
1114,5,0,Inactive
1115,6,2,Occasional User
1116,6,2,Occasional User
1117,5,2,Occasional User
1118,2,0,Inactive
1119,1,0,Inactive
1120,9,2,Occasional User
1121,2,0,Inactive
1122,2,0,Inactive
1123,1,0,Inactive
1124,1,1,Occasional User
1125,6,1,Occasional User
1126,5,0,Inactive
1127,12,0,Inactive
1128,5,1,Occasional User
1129,3,0,Inactive
1130,8,2,Occasional User
1131,5,2,Occasional User
1132,3,1,Occasional User
1133,12,2,Occasional User
1134,6,2,Occasional User
1135,4,1,Occasional User
1136,1,0,Inactive
1137,1,0,Inactive
1138,3,2,Occasional User
1139,4,2,Occasional User
1140,3,0,Inactive
1141,1,0,Inactive
1142,3,0,Inactive
1143,4,1,Occasional User
1144,6,0,Inactive
1145,1,1,Occasional User
1146,1,0,Inactive
1148,5,3,Regular User
1149,2,0,Inactive
1150,2,0,Inactive
1151,4,0,Inactive
1153,3,0,Inactive
1154,5,2,Occasional User
1155,4,0,Inactive
1156,5,1,Occasional User
1157,10,3,Regular User
1158,1,0,Inactive
1159,1,1,Occasional User
1160,15,6,Regular User
1161,1,0,Inactive
1162,1,0,Inactive
1163,2,2,Occasional User
1164,5,1,Occasional User
1165,6,0,Inactive
1167,1,0,Inactive
1168,5,1,Occasional User
1169,11,2,Occasional User
1170,8,0,Inactive
1171,3,2,Occasional User
1172,1,0,Inactive
1173,3,1,Occasional User
1174,7,1,Occasional User
1175,3,0,Inactive
1176,6,1,Occasional User
1177,5,0,Inactive
1178,9,1,Occasional User
1179,2,1,Occasional User
1180,4,2,Occasional User
1181,1,0,Inactive
1182,5,2,Occasional User
1183,3,1,Occasional User
1184,2,0,Inactive
1185,7,2,Occasional User
1186,2,0,Inactive
1187,4,0,Inactive
1188,3,0,Inactive
1189,5,1,Occasional User
1190,3,2,Occasional User
1191,8,1,Occasional User
1192,5,1,Occasional User
1194,1,0,Inactive
1195,11,3,Regular User
1196,1,0,Inactive
1197,2,0,Inactive
1198,1,0,Inactive
1199,4,0,Inactive
1200,9,1,Occasional User
1201,5,1,Occasional User
1202,4,0,Inactive
1203,12,6,Regular User
1204,6,1,Occasional User
1205,3,1,Occasional User
1206,5,3,Regular User
1207,3,2,Occasional User
1208,3,0,Inactive
1209,10,2,Occasional User
1210,2,0,Inactive
1211,3,1,Occasional User
1212,5,1,Occasional User
1214,6,4,Regular User
1215,3,1,Occasional User
1216,6,3,Regular User
1217,7,0,Inactive
1218,3,0,Inactive
1219,6,1,Occasional User
1220,2,0,Inactive
1221,2,0,Inactive
1222,8,3,Regular User
1223,3,0,Inactive
1224,1,0,Inactive
1225,4,1,Occasional User
1226,5,2,Occasional User
1227,6,0,Inactive
1228,1,0,Inactive
1229,2,0,Inactive
1230,3,1,Occasional User
1231,1,0,Inactive
1232,7,3,Regular User
1233,9,0,Inactive
1234,3,2,Occasional User
1235,6,0,Inactive
1236,7,2,Occasional User
1237,2,1,Occasional User
1238,5,3,Regular User
1239,2,1,Occasional User
1240,7,2,Occasional User
1241,2,0,Inactive
1242,4,0,Inactive
1243,3,0,Inactive
1244,2,1,Occasional User
1245,4,0,Inactive
1246,4,0,Inactive
1247,2,0,Inactive
1248,13,2,Occasional User
